Column HVPS,Total Arc Counts,Count of Arcs Synchronous w/ Pressure Spikes,Percent of Arcs Synchronous w/ Pressure Spikes
B2 Beam Blanker,0.0,0.0,0.0
B2 Bias,25.0,0.0,0.0
B2 Extractor,17.0,0.0,0.0
B2 Filament,0.0,0.0,0.0
B2 Gun Lens,104.0,0.0,0.0
B2 Main Lens,3.0,0.0,0.0
B2 Suppressor,11.0,0.0,0.0
B3 Beam Blanker,0.0,0.0,0.0
B3 Bias,258.0,1.0,0.3875968992248062
B3 Extractor,147.0,0.0,0.0
B3 Filament,0.0,0.0,0.0
B3 Gun Lens,313.0,0.0,0.0
B3 Main Lens,7.0,0.0,0.0
B3 Suppressor,109.0,0.0,0.0
B4 Beam Blanker,0.0,0.0,0.0
B4 Bias,96.0,2.0,2.0833333333333335
B4 Extractor,17.0,0.0,0.0
B4 Filament,0.0,0.0,0.0
B4 Gun Lens,79.0,0.0,0.0
B4 Main Lens,4.0,0.0,0.0
B4 Suppressor,16.0,0.0,0.0
C2 Beam Blanker,0.0,0.0,0.0
C2 Bias,46.0,0.0,0.0
C2 Extractor,15.0,0.0,0.0
C2 Filament,0.0,0.0,0.0
C2 Gun Lens,53.0,0.0,0.0
C2 Main Lens,6.0,0.0,0.0
C2 Suppressor,19.0,0.0,0.0
C3 Beam Blanker,8.0,0.0,0.0
C3 Bias,112.0,0.0,0.0
C3 Extractor,38.0,0.0,0.0
C3 Filament,0.0,0.0,0.0
C3 Gun Lens,113.0,0.0,0.0
C3 Main Lens,13.0,0.0,0.0
C3 Suppressor,40.0,0.0,0.0
C4 Beam Blanker,6.0,0.0,0.0
C4 Bias,94.0,1.0,1.0638297872340425
C4 Extractor,218.0,1.0,0.45871559633027525
C4 Filament,0.0,0.0,0.0
C4 Gun Lens,222.0,2.0,0.9009009009009009
C4 Main Lens,8.0,0.0,0.0
C4 Suppressor,154.0,1.0,0.6493506493506493
D2 Beam Blanker,0.0,0.0,0.0
D2 Bias,129.0,3.0,2.3255813953488373
D2 Extractor,30.0,0.0,0.0
D2 Filament,0.0,0.0,0.0
D2 Gun Lens,82.0,0.0,0.0
D2 Main Lens,5.0,0.0,0.0
D2 Suppressor,128.0,0.0,0.0
D3 Beam Blanker,0.0,0.0,0.0
D3 Bias,178.0,2.0,1.1235955056179776
D3 Extractor,147.0,2.0,1.3605442176870748
D3 Filament,0.0,0.0,0.0
D3 Gun Lens,99.0,2.0,2.0202020202020203
D3 Main Lens,3.0,0.0,0.0
D3 Suppressor,49.0,0.0,0.0
D4 Beam Blanker,2.0,0.0,0.0
D4 Bias,162.0,5.0,3.0864197530864197
D4 Extractor,10.0,1.0,10.0
D4 Filament,0.0,0.0,0.0
D4 Gun Lens,102.0,2.0,1.9607843137254901
D4 Main Lens,10.0,1.0,10.0
D4 Suppressor,44.0,3.0,6.818181818181818
